Canton,Country,People,CantonLanguage,CountryLanguage,Colour
Graubünden / Grigioni / Grischun,Slovakia,97,German,Slovak,7677ff
Graubünden / Grigioni / Grischun,Slovenia,21,German,Slovene,f26aff
Graubünden / Grigioni / Grischun,Somalia,12,German,Somali,ffad61
Graubünden / Grigioni / Grischun,South Africa,1,German,Zulu,ff0000
Graubünden / Grigioni / Grischun,South Korea,1,German,Korean,a1ffd1
Graubünden / Grigioni / Grischun,Spain,79,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Sudan,1,German,Arabic,fffd06
Graubünden / Grigioni / Grischun,Sweden,11,German,Swedish,ff339f
Graubünden / Grigioni / Grischun,Switzerland,536,German,German,68ffcb
Graubünden / Grigioni / Grischun,Syria,47,German,Arabic,fffd06
Graubünden / Grigioni / Grischun,Thailand,17,German,Thai,c45dff
Graubünden / Grigioni / Grischun,Tunisia,4,German,Arabic,fffd06
Graubünden / Grigioni / Grischun,Turkey,15,German,Turkish,fffd06
Graubünden / Grigioni / Grischun,Uganda,1,German,English,68ED7C
Graubünden / Grigioni / Grischun,Ukraine,21,German,Ukrainian,ffc668
Graubünden / Grigioni / Grischun,United Kingdom,46,German,English,68ED7C
Graubünden / Grigioni / Grischun,United States,17,German,English,68ED7C
Graubünden / Grigioni / Grischun,Venezuela,1,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Vietnam,2,German,Vietnamese,ff96c8
Jura,Afghanistan,4,French,Pashto,ff0880
Jura,Albania,1,French,Albanian,ff0000
Jura,Algeria,7,French,Arabic,fffd06
Jura,Angola,1,French,Portuguese,0406ff
Jura,Argentina,1,French,Spanish,68ffcb
Jura,Bangladesh,1,French,Bengali,0406ff
Jura,Belarus,2,French,Russian,68ED7C
Jura,Belgium,19,French,Dutch,fffd66
Jura,Bosnia and Herzegovina,2,French,Croatian,9900ff
Jura,Brazil,7,French,Portuguese,0406ff
Jura,Bulgaria,3,French,Bulgarian,0406ff
Jura,Cameroon,6,French,English,68ED7C
Jura,Canada,6,French,English,68ED7C
Jura,Chile,1,French,Spanish,68ffcb
Jura,Colombia,1,French,Spanish,68ffcb
Jura,Congo,2,French,French,f26aff
Jura,Côte d'Ivoire,2,French,French,f26aff
Jura,Czech Republic,1,French,Czech,ff0880
Jura,Denmark,1,French,Danish,ff4743
Jura,Dominican Republic,1,French,Spanish,68ffcb
Jura,Ecuador,1,French,Spanish,68ffcb
Jura,Egypt,1,French,Arabic,fffd06
Jura,Eritrea,14,French,Arabic,fffd06
Jura,France,200,French,French,f26aff
Jura,Germany,15,French,German,68ffcb
Jura,Greece,3,French,Greek,c45dff
Jura,Guinea,2,French,French,f26aff
Jura,Hungary,7,French,Hungarian,fbffa1
Jura,India,1,French,Hindi,ff908e
Jura,Iran,1,French,Persian,ff4743
Jura,Italy,44,French,Italian,9baaff
Jura,Japan,1,French,Japanese,ff9df5
Jura,Kosovo,18,French,Albanian,ff0000
Jura,Macedonia,1,French,Macedonian,fffd06
Jura,Mauritania,1,French,Arabic,fffd06
Jura,Mauritius,3,French,English,68ED7C
Jura,Mexico,1,French,Spanish,68ffcb
Jura,Moldova,1,French,Romanian,fffd66
Jura,Morocco,5,French,Arabic,fffd06
Jura,Netherlands,1,French,Dutch,fffd66
Jura,Nigeria,3,French,English,68ED7C
Jura,Pakistan,1,French,Urdu,a1ffd1
Jura,Peru,1,French,Spanish,68ffcb
Jura,Poland,6,French,Polish,25ff04
Jura,Portugal,151,French,Portuguese,0406ff
Jura,Romania,11,French,Romanian,fffd66
Jura,Russia,1,French,Russian,68ED7C
Jura,Senegal,3,French,French,f26aff
Jura,Serbia,4,French,Serbian,6cd8ed
Jura,Singapore,2,French,English,68ED7C
Jura,Slovakia,2,French,Slovak,7677ff
Jura,Slovenia,3,French,Slovene,f26aff
Jura,Somalia,4,French,Somali,ffad61
Jura,South Sudan,1,French,English,68ED7C
Jura,Spain,117,French,Spanish,68ffcb
Jura,Sweden,4,French,Swedish,ff339f
Jura,Switzerland,218,French,German,68ffcb
Jura,Syria,13,French,Arabic,fffd06
Jura,Tajikistan,1,French,Tajik,ff908e
Jura,Thailand,2,French,Thai,c45dff
Jura,Tunisia,3,French,Arabic,fffd06
Jura,Turkey,9,French,Turkish,fffd06
Jura,Ukraine,3,French,Ukrainian,ffc668
Jura,United Kingdom,7,French,English,68ED7C
Jura,United States,3,French,English,68ED7C
Jura,Uruguay,1,French,Spanish,68ffcb
Luzern,Afghanistan,21,German,Pashto,ff0880
Luzern,Albania,10,German,Albanian,ff0000
Luzern,Angola,4,German,Portuguese,0406ff
Luzern,Argentina,6,German,Spanish,68ffcb
Luzern,Armenia,5,German,Armenian,25ff04
Luzern,Australia,8,German,English,68ED7C
Luzern,Austria,121,German,German,68ffcb
Luzern,Azerbaijan,2,German,Azerbaijani,08f9ff
Luzern,Bahamas,1,German,English,68ED7C
Luzern,Bahrain,2,German,Arabic,fffd06
Luzern,Bangladesh,3,German,Bengali,0406ff
Luzern,Belarus,8,German,Russian,68ED7C
Luzern,Belgium,15,German,Dutch,fffd66
Luzern,Bolivia,1,German,Spanish,68ffcb
Luzern,Bosnia and Herzegovina,37,German,Croatian,9900ff
Luzern,Brazil,48,German,Portuguese,0406ff
Luzern,Bulgaria,51,German,Bulgarian,0406ff
Luzern,Cambodia,2,German,Khmer,ffc668
Luzern,Cameroon,1,German,English,68ED7C
Luzern,Canada,20,German,English,68ED7C
Luzern,Chile,7,German,Spanish,68ffcb
Luzern,Colombia,11,German,Spanish,68ffcb
Luzern,Congo,4,German,French,f26aff
Luzern,Congo,1,German,French,f26aff
Luzern,Costa Rica,1,German,Spanish,68ffcb
Luzern,Côte d'Ivoire,2,German,French,f26aff
Luzern,Croatia,28,German,Albanian,ff0000
Luzern,Cuba,4,German,Spanish,68ffcb
Luzern,Cyprus,3,German,Greek,c45dff
Luzern,Czech Republic,48,German,Czech,ff0880
Luzern,Denmark,11,German,Danish,ff4743
Luzern,Dominican Republic,7,German,Spanish,68ffcb
Luzern,Ecuador,4,German,Spanish,68ffcb
Luzern,Egypt,16,German,Arabic,fffd06
Luzern,El Salvador,2,German,Spanish,68ffcb
Luzern,Eritrea,52,German,Arabic,fffd06
Luzern,Estonia,7,German,Estonian,6cd8ed
Luzern,Finland,8,German,Finnish,7677ff
Luzern,France,71,German,French,f26aff
Luzern,Gambia,2,German,English,68ED7C
Luzern,Germany,1145,German,German,68ffcb
Luzern,Ghana,3,German,English,68ED7C
Luzern,Greece,53,German,Greek,c45dff
Luzern,Guatemala,3,German,Spanish,68ffcb
Luzern,Guinea,1,German,French,f26aff
Luzern,Haiti,1,German,French,f26aff
Luzern,Hungary,211,German,Hungarian,fbffa1
Luzern,Iceland,5,German,Icelandic,90ff9b
Luzern,India,117,German,Hindi,ff908e
Luzern,Indonesia,51,German,Indonesian,99eaff
Luzern,Iran,4,German,Persian,ff4743
Luzern,Iraq,4,German,Arabic,fffd06
Luzern,Ireland,18,German,English,68ED7C
Luzern,Israel,9,German,Hebrew,ff339f
Luzern,Italy,508,German,Italian,9baaff
Luzern,Jamaica,1,German,English,68ED7C
Luzern,Japan,24,German,Japanese,ff9df5
Luzern,Jordan,2,German,Arabic,fffd06
Luzern,Kazakhstan,20,German,Rusian,68ED7C
Luzern,Kenya,11,German,English,68ED7C
Luzern,Kosovo,153,German,Albanian,ff0000
Luzern,Kuwait,1,German,Arabic,fffd06
Luzern,Kyrgyzstan,1,German,Rusian,68ED7C
Luzern,Laos,2,German,Lao,c994ff
Luzern,Latvia,19,German,Latvian,ff96c8
Luzern,Lebanon,12,German,Arabic,fffd06
Luzern,Liechtenstein,3,German,German,68ffcb
Luzern,Lithuania,19,German,Lithuanian,ff0000
Luzern,Luxembourg,5,German,French,f26aff
Luzern,Macedonia,43,German,Macedonian,fffd06
Luzern,Malaysia,75,German,Malaysian,08f9ff
Luzern,Mali,1,German,French,f26aff
Luzern,Mauritius,3,German,English,68ED7C
Luzern,Mexico,25,German,Spanish,68ffcb
Luzern,Moldova,3,German,Romanian,fffd66
Luzern,Mongolia,7,German,Mongolian,0406ff
Luzern,Morocco,10,German,Arabic,fffd06
Luzern,Myanmar,8,German,Burmese,ff8424
Luzern,Nepal,8,German,Nepali,04ffa8
Luzern,Netherlands,64,German,Dutch,fffd66
Luzern,New Zealand,3,German,English,68ED7C
Luzern,Nigeria,3,German,English,68ED7C
Luzern,Norway,7,German,Norwegian,9900ff
Luzern,Oman,1,German,Arabic,fffd06
Luzern,Pakistan,8,German,Urdu,a1ffd1
Luzern,Panama,2,German,Spanish,68ffcb
Luzern,Peru,4,German,Spanish,68ffcb
Luzern,Poland,282,German,Polish,25ff04
Luzern,Portugal,524,German,Portuguese,0406ff
Luzern,Republic of Uzbekistan,1,German,Uzbek,c994ff
Luzern,Romania,74,German,Romanian,fffd66
Luzern,Russia,99,German,Russian,68ED7C
Luzern,Saudi Arabia,1,German,Arabic,fffd06
Luzern,Senegal,8,German,French,f26aff
Luzern,Serbia,77,German,Serbian,6cd8ed
Luzern,Singapore,30,German,English,68ED7C
Luzern,Slovakia,167,German,Slovak,7677ff
Luzern,Slovenia,99,German,Slovene,f26aff
Luzern,Somalia,8,German,Somali,ffad61
Luzern,South Africa,3,German,Zulu,ff0000
Luzern,South Korea,40,German,Korean,a1ffd1
Luzern,Spain,208,German,Spanish,68ffcb
Luzern,State of Palestine,1,German,Arabic,fffd06
Luzern,Sweden,48,German,Swedish,ff339f
Luzern,Switzerland,768,German,German,68ffcb
Luzern,Syria,117,German,Arabic,fffd06
Luzern,Thailand,69,German,Thai,c45dff
Luzern,Togo,2,German,French,f26aff
Luzern,Trinidad and Tobago,1,German,English,68ED7C
Luzern,Tunisia,16,German,Arabic,fffd06
Luzern,Turkey,38,German,Turkish,fffd06
Luzern,Ukraine,59,German,Ukrainian,ffc668
Luzern,United Arab Emirates,1,German,Arabic,fffd06
Luzern,United Kingdom,98,German,English,68ED7C
Luzern,United States,87,German,English,68ED7C
Luzern,Uruguay,1,German,Spanish,68ffcb
Luzern,Venezuela,7,German,Spanish,68ffcb
Luzern,Vietnam,78,German,Vietnamese,ff96c8
Luzern,Yemen,4,German,Arabic,fffd06
Luzern,Zambia,2,German,English,68ED7C
Luzern,Zimbabwe,3,German,English,68ED7C
Neuchâtel,Afghanistan,9,French,Pashto,ff0880
Neuchâtel,Albania,1,French,Albanian,ff0000
Neuchâtel,Algeria,16,French,Arabic,fffd06
Neuchâtel,Argentina,5,French,Spanish,68ffcb
Neuchâtel,Armenia,5,French,Armenian,25ff04
Neuchâtel,Australia,3,French,English,68ED7C
Neuchâtel,Austria,6,French,German,68ffcb
Neuchâtel,Bangladesh,1,French,Bengali,0406ff
Neuchâtel,Belarus,3,French,Russian,68ED7C
Neuchâtel,Belgium,34,French,Dutch,fffd66
Neuchâtel,Benin,1,French,French,f26aff
Neuchâtel,Bolivia,1,French,Spanish,68ffcb
Neuchâtel,Bosnia and Herzegovina,17,French,Croatian,9900ff
Neuchâtel,Brazil,22,French,Portuguese,0406ff
Neuchâtel,Bulgaria,10,French,Bulgarian,0406ff
Neuchâtel,Burkina Faso,2,French,French,f26aff
Neuchâtel,Cambodia,1,French,Khmer,ffc668
Neuchâtel,Cameroon,12,French,English,68ED7C
Neuchâtel,Canada,17,French,English,68ED7C
Neuchâtel,Cape Verde,5,French,Portuguese,0406ff
Neuchâtel,Chile,3,French,Spanish,68ffcb
Neuchâtel,Colombia,8,French,Spanish,68ffcb
Neuchâtel,Congo,15,French,French,f26aff
Neuchâtel,Côte d'Ivoire,11,French,French,f26aff
Neuchâtel,Cuba,1,French,Spanish,68ffcb
Neuchâtel,Czech Republic,10,French,Czech,ff0880
Neuchâtel,Denmark,2,French,Danish,ff4743
Neuchâtel,Dominican Republic,3,French,Spanish,68ffcb
Neuchâtel,Ecuador,2,French,Spanish,68ffcb
Neuchâtel,Egypt,3,French,Arabic,fffd06
Neuchâtel,Eritrea,19,French,Arabic,fffd06
Neuchâtel,Estonia,1,French,Estonian,6cd8ed
Neuchâtel,Finland,2,French,Finnish,7677ff
Neuchâtel,France,886,French,French,f26aff
Neuchâtel,Gambia,1,French,English,68ED7C
